id,dpnt
0,0.496227459
1,0.65565899
2,0.336795929
3,0.017932868
4,-5.163591877
5,-3.170697744
6,0.496227459
7,0.65565899
8,-0.69950902
9,0.416511694
10,-1.257519377
11,0.017932868
12,0.097648633
13,-1.177803612
14,-0.141498663
15,2.807984653
16,0.735374755
17,-1.177803612
18,0.815090521
19,0.177364398
20,-3.489560806
21,-0.460361724
22,-3.25041351
23,-1.576382438
24,-0.061782898
25,-0.380645959
26,-1.337235142
27,0.177364398
28,0.177364398
29,-0.858940551
30,1.532532408
31,-0.779224785
32,-2.214108561
33,-0.300930194
34,-0.380645959
35,-0.540077489
36,-0.619793255
37,0.735374755
38,0.177364398
39,0.177364398
40,-0.938656316
41,0.177364398
42,-0.221214428
43,-0.938656316
44,-0.619793255
45,0.815090521
46,0.177364398
47,0.894806286
48,0.177364398
49,0.177364398
50,0.416511694
51,0.177364398
52,-1.257519377
53,1.532532408
54,0.257080164
55,0.177364398
56,-0.221214428
57,1.612248174
58,-1.735813969
59,1.054237817
60,-0.380645959
61,1.373100878
62,0.177364398
63,0.177364398
64,2.090542765
65,2.090542765
66,1.054237817
67,2.329690061
68,0.177364398
69,-1.416950908
70,0.017932868
71,0.177364398
72,0.177364398
73,2.807984653
74,0.177364398
75,-0.460361724
76,0.177364398
77,-1.416950908
78,-1.656098204
79,0.65565899
80,-0.540077489
81,-0.061782898
82,0.097648633
83,0.177364398
84,0.177364398
85,0.177364398
86,0.894806286
87,0.575943225
88,0.815090521
89,0.177364398
90,-2.214108561
91,-2.692403153
92,0.974522051
93,0.177364398
94,1.133953582
95,0.257080164
96,0.974522051
97,2.010827
98,0.177364398
99,1.612248174
100,1.532532408
101,0.177364398
102,0.177364398
103,0.177364398
104,-0.380645959
105,-2.05467703
106,-0.619793255
107,0.177364398
108,0.177364398
109,0.177364398
110,-2.373540091
111,-0.061782898
112,-0.619793255
113,0.017932868
114,-1.098087847
115,1.293385112
116,0.177364398
117,-1.815529734
118,-0.779224785
119,-0.540077489
120,-0.221214428
121,-0.938656316
122,0.177364398
123,0.097648633
124,1.452816643
125,0.097648633
126,-2.214108561
127,0.177364398
128,0.177364398
129,0.097648633
130,0.177364398
131,0.735374755
132,1.931111235
133,-0.858940551
134,-2.134392795
135,0.177364398
136,-1.177803612
137,1.691963939
138,-0.69950902
139,-1.735813969
140,-1.576382438
141,0.257080164
142,0.177364398
143,-0.221214428
144,0.735374755
145,0.177364398
146,1.771679704
147,0.496227459
148,0.575943225
149,-0.221214428
150,0.177364398
151,1.532532408
152,0.974522051
153,-0.061782898
154,-0.221214428
155,-0.460361724
156,-4.207002693
157,0.017932868
158,-0.300930194
159,0.177364398
160,0.894806286
161,-0.300930194
162,0.894806286
163,-0.938656316
164,-4.207002693
165,-1.098087847
166,-1.576382438
167,0.735374755
168,-1.098087847
169,-1.576382438
170,-1.815529734
171,-3.808423867
172,2.329690061
173,0.336795929
174,0.894806286
175,-0.460361724
176,0.177364398
177,0.177364398
178,0.177364398
179,0.177364398
180,-3.808423867
181,0.177364398
182,-0.540077489
183,1.452816643
184,0.974522051
185,1.293385112
186,0.257080164
187,-0.380645959
188,-3.25041351
189,0.496227459
190,0.496227459
191,0.017932868
192,1.373100878
193,-0.540077489
194,0.815090521
195,-0.221214428
196,-0.540077489
197,-0.141498663
198,-0.221214428
199,0.097648633
200,-0.300930194
201,0.177364398
202,-1.656098204
203,1.452816643
204,-0.300930194
205,0.257080164
206,-3.25041351
207,0.416511694
208,0.177364398
209,0.177364398
210,0.894806286
211,-0.69950902
212,-0.460361724
213,0.496227459
214,-1.098087847
215,1.293385112
216,0.815090521
217,-0.460361724
218,0.177364398
219,1.373100878
220,-1.177803612
221,0.017932868
222,2.010827
223,2.728268888
224,-0.460361724
225,0.177364398
226,-1.177803612
227,0.177364398
228,0.257080164
229,-2.05467703
230,-2.134392795
231,-0.061782898
232,0.336795929
233,-0.779224785
234,-1.576382438
235,0.257080164
236,0.257080164
237,-0.061782898
238,1.054237817
239,0.257080164
240,-2.851834683
241,0.496227459
242,-1.098087847
243,1.213669347
244,0.177364398
245,5.119741847
246,0.177364398
247,-0.460361724
248,0.177364398
249,0.177364398
250,-0.380645959
251,0.177364398
252,-0.061782898
253,-0.141498663
254,0.177364398
255,-1.098087847
256,0.177364398
257,-0.460361724
258,0.177364398
259,0.177364398
260,0.177364398
261,-3.25041351
262,1.213669347
263,-2.293824326
264,2.010827
265,-0.061782898
266,-1.656098204
267,0.496227459
268,-1.656098204
269,-1.496666673
270,1.691963939
271,1.452816643
272,0.177364398
273,-0.938656316
274,0.257080164
275,-0.779224785
276,1.054237817
277,0.177364398
278,-0.858940551
279,0.177364398
280,2.170258531
281,-1.656098204
282,-0.460361724
283,-5.562170703
284,-0.460361724
285,-0.061782898
286,-0.779224785
287,1.373100878
288,-0.69950902
289,0.815090521
290,-0.300930194
291,1.054237817
292,0.65565899
293,0.575943225
294,0.65565899
295,-0.141498663
296,1.373100878
297,0.496227459
298,-0.300930194
299,0.177364398
300,0.575943225
301,-1.815529734
302,0.177364398
