COOP:247382,SAVAGE MT US,602,47.4536,-104.3379,1,-28,25,0,13
COOP:405035,LANCASTER EDGAR EVINS TN US,192,36.0827,-85.826,1,-155,-68,0,0
COOP:094648,JASPER 1 NNW GA US,446.5,34.4758,-84.4461,1,-372,-104,0,8
COOP:081986,CRESTVIEW BOB SIKES AIRPORT FL US,57.9,30.77972,-86.5225,1,-357,-59,0,1
COOP:518549,PUU O HOKU RANCH 542.1 HI US,202.7,21.1451,-156.7328,1,0,0,0,0
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,1,-12,-16,0,15
COOP:020100,ALAMO DAM AZ US,393.2,34.228,-113.5777,1,-103,29,0,0
COOP:461579,CHARLESTON WSFO WV US,279.8,38.3138,-81.7186,1,-74,-84,0,12
COOP:081978,CRESCENT CITY FL US,16.2,29.425,-81.5161,1,190,-48,0,0
COOP:461570,CHARLESTON YEAGER AIRPORT WV US,277.4,38.3794,-81.59,1,-50,-68,0,10
COOP:138693,WASHTA IA US,353.6,42.5738,-95.7133,1,0,0,0,14
COOP:035018,MOUNTAINBURG 2 NE AR US,241.7,35.6494,-94.1541,1,-193,-63,0,6
COOP:411761,CLARENDON TX US,850.4,34.9414,-100.9126,1,0,-10,0,3
COOP:356820,POWERS OR US,70.1,42.8886,-124.0688,1,-640,0,0,0
COOP:099291,WEST POINT GA US,175.3,32.879,-85.1809,1,0,-47,0,1
COOP:042012,CORCORAN IRRIG DIST CA US,61,36.0975,-119.5817,1,-140,46,0,0
COOP:348900,TISHOMINGO 6 N MESONET OK US,267.9,34.3326,-96.679,1,0,0,0,1
COOP:503304,GLENNALLEN KCAM AK US,421.5,62.1086,-145.5328,1,142,210,0,21
COOP:205390,MERRILL 1 N MI US,203.6,43.4155,-83.2894,1,0,0,0,25
COOP:067958,STAFFORDVILLE CT US,224.3,41.9984,-72.2606,1,-31,-27,0,18
COOP:036928,SUBIACO AR US,152.4,35.3028,-93.6369,1,-142,-56,0,5
COOP:252680,ELSMERE NE US,808.9,42.1717,-100.0106,1,-35,11,0,8
COOP:167738,RED RIVER RESEARCH STATION LA US,47.2,32.4219,-93.638,1,-350,-41,0,1
COOP:247342,SAND CREEK MT US,887,47.5775,-108.7272,1,9,50,0,9
COOP:036920,STUTTGART 9 ESE AR US,60.4,34.4744,-91.4172,1,-165,-38,0,3
COOP:020159,ALPINE AZ US,2453.6,33.8492,-109.1469,1,0,3,0,0
COOP:348879,TIPTON 4 S OK US,386.8,34.43972,-99.1375,1,0,0,0,2
COOP:511303,HAWAII VOL NATIONAL PARK HQ 54 HI US,1210.4,19.4297,-155.2562,1,0,0,0,0
COOP:340830,BLANCHARD 2 SSW OK US,388.6,35.11833,-97.67,1,-146,-10,0,4
COOP:354622,LA GRANDE OR US,839.7,45.3167,-118.0747,1,17,11,0,1
COOP:343628,GOODWELL RESEARCH STATION OK US,999.1,36.5913,-101.618,1,-27,-4,0,4
COOP:190736,EAST MILTON BLUE HILL OBSERVATORY MA US,190.5,42.2123,-71.1137,1,0,0,0,16
COOP:138706,WATERLOO MUNICIPAL AIRPORT IA US,264.6,42.5544,-92.4011,1,-17,-85,0,22
COOP:247425,SCOBEY 4 NW MT US,723.6,48.8306,-105.4758,1,-34,44,0,14
COOP:232981,FORT LEONARD WOOD MO US,325.5,37.748,-92.1049,1,0,-40,0,7
COOP:664614,HUMACAO NATURAL RESERVE US,2.7,18.1505,-66.7719,1,0,0,0,0
COOP:143153,GOODLAND RENNER FIELD KS US,1114.3,39.36722,-101.69333,1,19,4,0,6
COOP:368400,SPRINGTOWN 1 NNE PA US,262.1,40.5711,-75.2781,1,27,-55,0,17
COOP:354606,LACOMB 3 NNE OR US,158.5,44.6253,-122.7189,1,-277,-19,0,0
COOP:049152,U C L A CA US,131.1,34.0697,-118.4427,1,-395,58,0,0
COOP:511339,HAWI 168 HI US,176.8,20.2402,-155.8388,1,0,0,0,0
COOP:418996,THOMPSONS 3 WSW TX US,21.3,29.4821,-95.6314,1,-314,-10,0,0
COOP:096838,PATTERSON GA US,32,31.3781,-82.1292,1,0,-35,0,1
COOP:411810,CLEVELAND TX US,59.7,30.3637,-95.084,1,-317,-49,0,0
COOP:245144,LOLO HOT SPRINGS MT US,1272.5,46.7258,-114.533,1,0,0,0,3
COOP:122620,ELNORA IN US,145.7,38.87,-87.09167,1,0,0,0,10
COOP:445880,MUSTOE 1 SW VA US,725.4,38.3311,-79.6586,1,-129,-77,0,14
COOP:130923,BRITT IA US,378,43.1016,-93.8013,1,0,-57,0,21
COOP:033734,JONESBORO 2 NE AR US,94.5,35.849,-90.6589,1,-112,-43,0,7
