COOP:345870,MINCO 2 SSW MESONET OK US,429.8,35.27222,-97.95528,10,0,0,4,0,-1.11945995,-0.263746287,-0.076897715
COOP:253735,HEBRON NE US,451.1,40.175,-97.5902,10,74,21,0,0,0.158711523,-0.21790339,0.57831476
COOP:426869,PINE VIEW DAM UT US,1505.7,41.2578,-111.8378,10,-261,26,0,0,0.463038065,2.051858056,-2.387849825
COOP:301309,CENTERPORT NY US,9.1,40.8838,-73.3722,10,-56,21,0,0,0.158711523,-1.169197302,-0.572734183
COOP:507251,PETERSBURG 1 AK US,32.6,56.8055,-132.9372,10,26,29,0,0,0.645633989,-1.118619458,0.153312073
COOP:425582,MEXICAN HAT UT US,1252.4,37.1497,-109.8675,10,-41,34,0,0,0.949960531,1.506693468,-0.439920844
COOP:418924,TERLINGUA TX US,802.5,29.3485,-103.595,10,-112,27,18,0,0.523903373,0.538396792,-1.068570651
COOP:508375,SEWARD 8 NW AK US,129.2,60.1883,-149.6274,10,0,0,0,0,-1.11945995,-0.910712237,-0.076897715
COOP:508377,SEWARD 19 N AK US,157.9,60.3538,-149.3483,10,0,0,0,0,-1.11945995,-0.8489427,-0.076897715
COOP:665693,MAGUEYES ISLAND US,3.7,17.9722,-67.0461,10,-329,-4,9,0,-1.362921183,-1.180819445,-2.989936964
COOP:035046,MOUNTAIN VIEW AR US,218.2,35.8445,-92.0979,10,70,28,1,0,0.584768681,-0.719162105,0.54289787
COOP:138688,WASHINGTON IA US,209.4,41.2824,-91.7078,10,109,-8,0,0,-1.606382416,-0.738101894,0.888212553
COOP:505136,KUPARUK AK US,19.5,70.3289,-149.6114,10,111,54,0,28,2.167266696,-1.146813916,0.905920998
COOP:368361,SPRINGBORO 3 WNW PA US,306.3,41.8162,-80.4249,10,95,10,0,0,-0.510806867,-0.529548998,0.764253436
COOP:417458,RAYMONDVILLE TX US,9.4,26.4819,-97.8097,10,0,0,7,0,-1.11945995,-1.168551627,-0.076897715
COOP:035036,MOUNTAIN HOME 1 NNW AR US,243.8,36.3458,-92.3939,10,250,19,0,0,0.036980907,-0.664064539,2.136657945
COOP:049203,VACAVILLE NUT TREE AIRPORT CA US,33.2,38.3775,-121.9575,10,-40,35,10,0,1.010825839,-1.117328109,-0.431066621
COOP:247382,SAVAGE MT US,602,47.4536,-104.3379,10,-60,34,0,0,0.949960531,0.106870934,-0.608151074
COOP:405035,LANCASTER EDGAR EVINS TN US,192,36.0827,-85.826,10,902,7,0,0,-0.693402792,-0.775551021,7.909611107
COOP:094648,JASPER 1 NNW GA US,446.5,34.4758,-84.4461,10,254,-1,0,0,-1.180325258,-0.227803734,2.172074836
COOP:081986,CRESTVIEW BOB SIKES AIRPORT FL US,57.9,30.77972,-86.5225,10,-183,2,3,0,-0.997729333,-1.064167567,-1.697220459
COOP:518549,PUU O HOKU RANCH 542.1 HI US,205.4,21.1447,-156.7329,10,0,0,0,0,-1.11945995,-0.746710888,-0.076897715
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,10,189,24,0,0,0.341307448,-1.180819445,1.596550364
COOP:020100,ALAMO DAM AZ US,393.2,34.228,-113.5777,10,-53,18,24,0,-0.023884401,-0.342518588,-0.546171515
COOP:461579,CHARLESTON WSFO WV US,279.8,38.3138,-81.7186,10,223,5,0,0,-0.815133409,-0.586583587,1.897593934
