COOP:507251,PETERSBURG 1 AK US,32.6,56.8055,-132.9372,11,-369,6,0,3,1.189313869,-1.118300029
COOP:425582,MEXICAN HAT UT US,1252.4,37.1497,-109.8675,11,-42,2,0,0,1.061447956,1.504855948
COOP:418924,TERLINGUA TX US,802.5,29.3485,-103.595,11,294,-36,0,0,-0.153278215,0.537354822
COOP:508375,SEWARD 8 NW AK US,129.2,60.1883,-149.6274,11,0,0,0,0,0.997515,-0.910563624
COOP:508377,SEWARD 19 N AK US,157.9,60.3538,-149.3483,11,0,0,0,0,0.997515,-0.848844837
COOP:665693,MAGUEYES ISLAND US,3.7,17.9722,-67.0461,11,126,-4,2,0,0.869649087,-1.180448912
COOP:035046,MOUNTAIN VIEW AR US,218.2,35.8445,-92.0979,11,-295,-69,0,0,-1.208171995,-0.719170869
COOP:138688,WASHINGTON IA US,209.4,41.2824,-91.7078,11,-47,-76,0,14,-1.431937343,-0.738095097
COOP:505136,KUPARUK AK US,19.5,70.3289,-149.6114,11,35,92,0,28,3.938430994,-1.146471322
COOP:368361,SPRINGBORO 3 WNW PA US,306.3,41.8162,-80.4249,11,-103,-54,0,6,-0.728674822,-0.529713547
COOP:417458,RAYMONDVILLE TX US,9.4,26.7069,-97.7833,11,432,-80,1,0,-1.559803255,-1.168191174
COOP:035036,MOUNTAIN HOME 1 NNW AR US,243.8,36.3458,-92.3939,11,-293,-78,0,1,-1.495870299,-0.664118571
COOP:049203,VACAVILLE NUT TREE AIRPORT CA US,33.2,38.3775,-121.9575,11,-98,22,0,0,1.70077752,-1.117009741
COOP:247382,SAVAGE MT US,602,47.4536,-104.3379,11,-6,-75,0,12,-1.399970864,0.106183504
COOP:405035,LANCASTER EDGAR EVINS TN US,192,36.0827,-85.826,11,13,-95,0,0,-2.039300428,-0.775513455
COOP:094648,JASPER 1 NNW GA US,446.5,34.4758,-84.4461,11,-70,-78,0,1,-1.495870299,-0.228216197
COOP:081986,CRESTVIEW BOB SIKES AIRPORT FL US,57.9,30.77972,-86.5225,11,-403,-55,0,0,-0.760641301,-1.063892875
COOP:518549,PUU O HOKU RANCH 542.1 HI US,205.4,21.1447,-156.7329,11,0,0,0,0,0.997515,-0.746697018
COOP:190770,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,3.7,42.3606,-71.0106,11,128,-22,0,0,0.29425248,-1.180448912
COOP:020100,ALAMO DAM AZ US,393.2,34.228,-113.5777,11,-73,12,0,0,1.381112738,-0.342836801
COOP:461579,CHARLESTON WSFO WV US,279.8,38.3138,-81.7186,11,-103,-64,0,2,-1.048339604,-0.586701277
COOP:081978,CRESCENT CITY FL US,16.2,29.425,-81.5161,11,399,-56,0,0,-0.792607779,-1.153567908
COOP:461570,CHARLESTON YEAGER AIRPORT WV US,277.4,38.3794,-81.59,11,-149,-58,0,2,-0.856540735,-0.59186243
COOP:138693,WASHTA IA US,353.6,42.5738,-95.7133,11,0,0,0,13,0.997515,-0.427995825
COOP:035018,MOUNTAINBURG 2 NE AR US,241.7,35.6494,-94.1541,11,-193,-71,0,0,-1.272104952,-0.66863458
COOP:411761,CLARENDON TX US,850.4,34.9414,-100.9126,11,12,-49,0,5,-0.568842431,0.640362832
COOP:356820,POWERS OR US,70.1,42.8886,-124.0688,11,-217,0,0,0,0.997515,-1.037657015
COOP:099291,WEST POINT GA US,175.3,32.879,-85.1809,11,0,0,0,0,0.997515,-0.811426478
COOP:042012,CORCORAN IRRIG DIST CA US,61,36.0975,-119.5817,11,0,34,0,0,2.084375259,-1.057226386
COOP:348900,TISHOMINGO 6 N MESONET OK US,267.9,34.3326,-96.679,11,0,0,0,0,0.997515,-0.612291994
COOP:503304,GLENNALLEN KCAM AK US,421.5,62.1086,-145.5328,11,-79,14,0,26,1.445045695,-0.281978206
COOP:205390,MERRILL 1 N MI US,203.6,43.4155,-83.2894,11,0,0,0,7,0.997515,-0.750567883
COOP:067958,STAFFORDVILLE CT US,224.3,41.9984,-72.2606,11,27,-35,0,3,-0.121311737,-0.706052939
COOP:036928,SUBIACO AR US,152.4,35.3028,-93.6369,11,-376,-73,0,0,-1.336037908,-0.860672479
COOP:252680,ELSMERE NE US,808.9,42.1717,-100.0106,11,-80,-42,0,6,-0.345077084,0.551117896
COOP:167738,RED RIVER RESEARCH STATION LA US,47.2,32.4219,-93.638,11,-132,-49,0,0,-0.568842431,-1.086903016
